#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     266  -0.28322858  -0.95905244  -0.53882277   0.84241915   2.28539467
     267   0.75998187  -0.64994425  -0.62594497   0.77986723  -2.95464993
     268   0.90349853   0.42859125  -0.61938107   0.78509051  -1.79581749
     269  -0.02257881   0.99974507  -0.51583445   0.85668832  -0.51940066
     270  -0.92192650   0.38736480  -0.46359876   0.88604528   0.69097227
     271  -0.72986454  -0.68359178  -0.47203088   0.88158202   1.83187580
     272   0.32623726  -0.94528794  -0.53853673   0.84260201   2.90521336
     273   0.99612767  -0.08791828  -0.65284264   0.75749356  -2.37015939
     274   0.48676643   0.87353218  -0.67225033   0.74032390  -1.24562848
     275  -0.59884638   0.80086392  -0.60082430   0.79938108  -0.00247205
     276  -0.97552335  -0.21989579  -0.57846123   0.81570989   1.17566299
     277  -0.19734077  -0.98033494  -0.61121088   0.79146779   2.28535843
     278   0.81446093  -0.58021843  -0.69245994   0.72145629  -2.95468640
     279   0.86207455   0.50678146  -0.68638653   0.72723693  -1.79585767
     280  -0.11086659   0.99383527  -0.58958066   0.80770952  -0.51944458
     281  -0.95255989   0.30435124  -0.54014289   0.84157336   0.69093227
     282  -0.66657859  -0.74543476  -0.54814088   0.83638602   1.83184326
     283   0.40852234  -0.91274834  -0.61093909   0.79167759   2.90518093
     284   0.99999988   0.00048231  -0.71727097   0.69679433  -2.37019205
     285   0.40764168   0.91314197  -0.73508430   0.67797571  -1.24566102
     286  -0.66729736   0.74479139  -0.66916913   0.74311018  -0.00251591
     287  -0.95226586  -0.30526996  -0.64833492   0.76135528   1.17562282
     288  -0.10990787  -0.99394178  -0.67880672   0.73431700   2.28532600
     289   0.86256301  -0.50594968  -0.75354379   0.65739775  -2.95471501
     290   0.81390083   0.58100379  -0.74800527   0.66369277  -1.79588628
     291  -0.19828632   0.98014414  -0.65868312   0.75242043  -0.51945806
     292  -0.97573501   0.21895468  -0.61243290   0.79052258   0.69091874
     293  -0.59807360  -0.80144119  -0.61994696   0.78464371   1.83182228
     294   0.48760882  -0.87306219  -0.67854613   0.73455781   2.90515995
     295   0.99604243   0.08887912  -0.77607197   0.63064438  -2.37021303
     296   0.32532528   0.94560218  -0.79215163   0.61032432  -1.24568200
     297  -0.73052359   0.68288743  -0.73225117   0.68103468  -0.00253323
     298  -0.92155242  -0.38825393  -0.71311438   0.70104772   1.17560172
     299  -0.02161442  -0.99976641  -0.74107867   0.67141819   2.28530121
     300   0.90391153  -0.42771950  -0.80872375   0.58818865  -2.95474362
     301   0.75935459   0.65067708  -0.80375904   0.59495491  -1.79590726
     302  -0.28415355   0.95877880  -0.72263736   0.69122738  -0.51948673
     303  -0.99127048   0.13184379  -0.67993754   0.73326999   0.69089001
     304  -0.52488589  -0.85117263  -0.68689954   0.72675240   1.83179736
     305   0.56287748  -0.82654035  -0.74084300   0.67167825   2.90513110
     306   0.98428631   0.17658004  -0.82879585   0.55955112  -2.37023783
     307   0.24046166   0.97065866  -0.84301168   0.53789532  -1.24569929
     308  -0.78803009   0.61563671  -0.78960001   0.61362189  -0.00255424
     309  -0.88362354  -0.46819803  -0.77230531   0.63525152   1.17558455
     310   0.06684826  -0.99776316  -0.79754269   0.60326254   2.28527999
     311   0.93818271  -0.34614044  -0.85755980   0.51438433  -2.95475721
     312   0.69886279   0.71525574  -0.85321474   0.52155977  -1.79592454
     313  -0.36779594   0.92990655  -0.78092271   0.62462765  -0.51950395
     314  -0.99904466   0.04370061  -0.74210739   0.67028099   0.69087285
     315  -0.44758847  -0.89423966  -0.74846590   0.66317332   1.83178008
     316   0.63373899  -0.77354693  -0.79733092   0.60354239   2.90511012
     317   0.96482354   0.26289842  -0.87502319   0.48408100  -2.37025499
     318   0.15371533   0.98811519  -0.88726687   0.46125647  -1.24571276
     319  -0.83936661   0.54356575  -0.84075332   0.54141837  -0.00255618
     320  -0.83877623  -0.54447633  -0.82543844   0.56449217   1.17558253
     321   0.15478753  -0.98794776  -0.84774911   0.53039742   2.28527808
     322   0.96510828  -0.26185122  -0.89967269   0.43656507  -2.95475531
     323   0.63289922   0.77423424  -0.89597726   0.44409996  -1.79591894
     324  -0.44855863   0.89375341  -0.83307868   0.55315447  -0.51949835
     325  -0.99899668  -0.04478474  -0.79844844   0.60206318   0.69088227
     326  -0.36678660  -0.93030512  -0.80415380   0.59442127   1.83178961
     327   0.69963861  -0.71449691  -0.84755480   0.53070784   2.90512347
     328   0.93780655   0.34715837  -0.91438591   0.40484363  -2.37024546
     329   0.06576545   0.99783510  -0.92456275   0.38102975  -1.24569941
     330  -0.88413113   0.46723884  -0.88531643   0.46498904  -0.00254295
     331  -0.78736156  -0.61649150  -0.87210083   0.48932615   1.17559576
     332   0.24151488  -0.97039711  -0.89131248   0.45338953   2.28528738
     333   0.98447734  -0.17551179  -0.93474042   0.35533136  -2.95474982
     334   0.56198019   0.82715070  -0.93172687   0.36315984  -1.79591715
     335  -0.52580923   0.85060251  -0.87871641   0.47734416  -0.51950026
     336  -0.99112684  -0.13291943  -0.84854734   0.52911943   0.69087654
     337  -0.28311291  -0.95908660  -0.85355479   0.52100313   1.83178377
     338   0.76006025  -0.64985263  -0.89115161   0.45370570   2.90512133
     339   0.90344679   0.42870018  -0.94659460   0.32242632  -2.37024760
     340  -0.02269935   0.99974233  -0.95462751   0.29780239  -1.24570525
     341  -0.92197323   0.38725364  -0.92295724   0.38490251  -0.00254876
     342  -0.72978210  -0.68367982  -0.91194493   0.41031265   1.17559004
     343   0.32635126  -0.94524854  -0.92790151   0.37282538   2.28528929
     344   0.99613827  -0.08779817  -0.96249348   0.27130485  -2.95475554
     345   0.48666108   0.87359089  -0.96018273   0.27937278  -1.79591906
     346  -0.59894294   0.80079168  -0.91747230   0.39779970  -0.51949853
     347  -0.97549683  -0.22001341  -0.89199984   0.45203575   0.69087446
     348  -0.19722256  -0.98035872  -0.89626843   0.44351199   1.83178556
     349   0.81453085  -0.58012021  -0.92777061   0.37315103   2.90511942
     350   0.86201346   0.50688541  -0.97139043   0.23748809  -2.37024570
     351  -0.11098643   0.99382192  -0.97721612   0.21224676  -1.24570727
     352  -0.95259655   0.30423638  -0.95336837   0.30180919  -0.00254694
     353  -0.66648871  -0.74551511  -0.94464660   0.32808971   1.17558801
     354   0.40863240  -0.91269904  -0.95722681   0.28933865   2.28528738
     355   0.99999982   0.00060289  -0.98270816   0.18516135  -2.95475364
     356   0.40753159   0.91319114  -0.98112106   0.19339447  -1.79592490
     357  -0.66738719   0.74471092  -0.94904733   0.31513351  -0.51950425
     358  -0.95222902  -0.30538476  -0.92846650   0.37141618   0.69087631
     359  -0.10978802  -0.99395502  -0.93196630   0.36254486   1.83178365
     360   0.86262399  -0.50584567  -0.95712519   0.28967458   2.90511751
     361   0.81383079   0.58110195  -0.98858213   0.15068297  -2.37025166
     362  -0.19840451   0.98012024  -0.99215257   0.12503302  -1.24570537
     363  -0.97576141   0.21883702  -0.97631603   0.21634917  -0.00254894
     364  -0.59797698  -0.80151331  -0.96995068   0.24330154   1.17558980
     365   0.48771408  -0.87300342  -0.97905779   0.20358264   2.28528166
     366   0.99603170   0.08899923  -0.99522924   0.09756437  -2.95475578
     367   0.32521126   0.94564140  -0.99437577   0.10590934  -1.79592311
     368  -0.73060596   0.68279934  -0.97318900   0.23000702  -0.51950240
     369  -0.92150563  -0.38836506  -0.95766497   0.28788501   0.69087434
     370  -0.02149388  -0.99976897  -0.96036690   0.27873904   1.83178163
     371   0.90396309  -0.42761052  -0.97898471   0.20393370   2.90511918
     372   0.75927609   0.65076864  -0.99803233   0.06270170  -2.37025356
     373  -0.28426915   0.95874453  -0.99932128   0.03683655  -1.24570739
